SAMPLED_DATE,RESULT_VALUE,COMPONENT_NAME
2024-02-27 00:30:00,0.0,EDC
2024-02-27 09:00:00,0.0,EDC
2024-02-27 16:30:00,0.0,EDC
2024-02-28 00:30:00,0.0,EDC
2024-02-28 09:00:00,0.0,EDC
2024-02-28 16:30:00,0.0,EDC
2024-02-29 00:30:00,0.01,EDC
2024-02-29 09:00:00,0.0,EDC
2024-02-29 16:30:00,0.3,EDC
2024-03-01 00:30:00,0.0,EDC
2024-03-01 09:00:00,0.0,EDC
2024-03-01 16:30:00,0.0,EDC
2024-03-02 00:30:00,0.34,EDC
2024-03-02 09:00:00,0.4,EDC
2024-03-02 16:30:00,0.0,EDC
2024-03-03 00:30:00,0.0,EDC
2024-03-03 09:00:00,0.0,EDC
2024-03-03 16:30:00,0.02,EDC
2024-03-04 00:30:00,0.0,EDC
2024-03-04 09:00:00,0.0,EDC
2024-03-04 16:30:00,0.01,EDC
2024-03-05 00:30:00,0.0,EDC
2024-03-05 09:00:00,0.0,EDC
2024-03-05 16:30:00,0.01,EDC
2024-03-06 00:30:00,0.0,EDC
2024-03-06 09:00:00,0.0,EDC
2024-03-06 16:30:00,0.0,EDC
2024-03-07 00:30:00,0.0,EDC
2024-03-07 09:00:00,0.0,EDC
2024-03-07 16:30:00,0.0,EDC
2024-03-08 00:30:00,0.0,EDC
2024-03-08 09:00:00,0.0,EDC
2024-03-08 16:30:00,0.0,EDC
2024-03-09 00:30:00,0.01,EDC
2024-03-09 09:00:00,0.0,EDC
2024-03-09 16:30:00,0.0,EDC
2024-03-10 00:30:00,0.0,EDC
2024-03-10 09:00:00,0.0,EDC
2024-03-10 16:30:00,0.0,EDC
2024-03-11 00:30:00,0.0,EDC
2024-03-11 09:00:00,0.0,EDC
2024-03-11 16:30:00,0.0,EDC
2024-03-12 00:30:00,0.0,EDC
2024-03-12 09:00:00,0.0,EDC
2024-03-12 16:30:00,0.01,EDC
2024-03-13 00:30:00,0.0,EDC
2024-03-13 09:00:00,0.0,EDC
2024-03-13 16:30:00,0.0,EDC
2024-03-14 09:00:00,0.0,EDC
2024-03-14 16:30:00,0.04,EDC
2024-03-15 00:30:00,0.0,EDC
2024-03-15 09:00:00,0.0,EDC
2024-03-15 16:30:00,0.0,EDC
2024-03-16 00:30:00,0.0,EDC
2024-03-16 09:00:00,0.0,EDC
2024-03-16 16:30:00,0.0,EDC
2024-03-17 00:30:00,0.0,EDC
2024-03-17 09:00:00,0.0,EDC
2024-03-17 16:30:00,0.0,EDC
2024-03-18 00:30:00,0.03,EDC
2024-03-18 09:00:00,0.03,EDC
2024-03-18 16:30:00,0.0,EDC
2024-03-19 00:30:00,0.03,EDC
2024-03-19 09:00:00,0.0,EDC
2024-03-19 16:30:00,0.0,EDC
2024-03-20 00:30:00,0.02,EDC
2024-03-20 09:00:00,0.0,EDC
2024-03-20 16:30:00,0.0,EDC
2024-03-21 00:30:00,0.0,EDC
2024-03-21 09:00:00,0.0,EDC
2024-03-21 16:30:00,0.39,EDC
2024-03-22 00:30:00,0.0,EDC
2024-03-22 09:00:00,0.0,EDC
2024-03-22 16:30:00,0.06,EDC
2024-03-23 00:30:00,0.0,EDC
2024-03-23 09:00:00,0.0,EDC
2024-03-23 16:30:00,0.02,EDC
2024-03-24 00:30:00,0.0,EDC
2024-03-24 09:00:00,0.0,EDC
2024-03-24 16:30:00,0.0,EDC
2024-03-25 00:30:00,0.0,EDC
2024-03-25 09:00:00,0.0,EDC
2024-03-25 16:30:00,0.0,EDC
2024-03-26 00:30:00,0.0,EDC
2024-03-26 09:00:00,0.0,EDC
2024-03-26 16:30:00,0.0,EDC
2024-03-27 00:30:00,0.01,EDC
2024-03-27 09:00:00,0.0,EDC
2024-03-27 16:30:00,0.0,EDC
2024-03-28 00:30:00,0.0,EDC
2024-03-28 09:00:00,0.0,EDC
2024-03-28 16:30:00,0.0,EDC
2024-03-29 00:30:00,0.0,EDC
2024-03-29 09:00:00,0.0,EDC
2024-03-29 16:30:00,0.0,EDC
2024-03-30 00:30:00,0.0,EDC
2024-03-30 09:00:00,0.0,EDC
2024-03-30 16:30:00,0.0,EDC
2024-03-31 00:30:00,0.0,EDC
2024-03-31 09:00:00,0.0,EDC
2024-03-31 16:30:00,0.0,EDC
2024-04-01 00:30:00,0.0,EDC
2024-04-01 09:00:00,0.0,EDC
2024-04-01 17:30:45,0.0,EDC
2024-04-02 00:30:00,0.0,EDC
2024-04-02 09:00:00,0.0,EDC
2024-04-02 16:30:00,0.0,EDC
2024-04-03 00:30:00,0.0,EDC
2024-04-03 09:00:00,0.0,EDC
2024-04-03 16:30:00,0.0,EDC
2024-04-04 00:30:00,0.0,EDC
2024-04-04 09:00:00,0.0,EDC
2024-04-04 16:30:00,0.0,EDC
2024-04-05 00:30:00,0.0,EDC
2024-04-05 09:00:00,0.0,EDC
2024-04-05 16:30:00,0.0,EDC
2024-04-06 00:30:00,0.0,EDC
2024-04-06 09:00:00,0.0,EDC
2024-04-06 16:30:00,0.0,EDC
2024-04-07 00:30:00,0.0,EDC
2024-04-07 09:00:00,0.0,EDC
2024-04-07 16:30:00,0.0,EDC
2024-04-08 00:30:00,0.0,EDC
2024-04-08 09:00:00,0.0,EDC
2024-04-08 16:30:00,0.02,EDC
2024-04-09 00:30:00,0.0,EDC
2024-04-09 09:00:00,0.0,EDC
2024-04-09 16:30:00,0.0,EDC
2024-04-10 00:30:00,0.0,EDC
2024-04-10 09:00:00,0.0,EDC
2024-04-10 16:30:00,0.0,EDC
2024-04-11 00:30:00,0.0,EDC
2024-04-11 09:00:00,0.0,EDC
2024-04-11 16:30:00,0.0,EDC
2024-04-12 00:30:00,0.0,EDC
2024-04-12 09:00:00,0.0,EDC
2024-04-12 16:30:00,0.0,EDC
2024-04-13 00:30:00,0.0,EDC
2024-04-13 09:00:00,0.0,EDC
2024-04-13 16:30:00,0.0,EDC
2024-04-14 00:30:00,0.0,EDC
2024-04-14 09:00:00,0.0,EDC
2024-04-14 16:30:00,0.0,EDC
2024-04-15 00:30:00,0.0,EDC
2024-04-15 09:00:00,0.0,EDC
2024-04-15 16:30:00,0.0,EDC
2024-04-16 00:30:00,0.0,EDC
2024-04-16 09:00:00,0.0,EDC
2024-04-16 16:30:00,0.0,EDC
2024-04-17 00:30:00,0.0,EDC
2024-04-17 09:00:00,0.0,EDC
2024-04-17 16:30:00,0.0,EDC
2024-04-18 00:30:00,0.0,EDC
2024-04-18 09:00:00,0.0,EDC
2024-04-18 16:30:00,0.0,EDC
2024-04-19 00:30:00,0.0,EDC
2024-04-19 09:00:00,0.0,EDC
2024-04-19 16:30:00,0.0,EDC
2024-04-20 00:30:00,0.0,EDC
2024-04-20 09:00:00,0.0,EDC
2024-04-20 16:30:00,0.0,EDC
2024-04-21 00:30:00,0.0,EDC
2024-04-21 09:00:00,0.0,EDC
2024-04-21 16:30:00,0.0,EDC
2024-04-22 00:30:00,0.0,EDC
2024-04-22 09:00:00,0.0,EDC
2024-04-22 16:30:00,0.0,EDC
2024-04-23 00:30:00,0.0,EDC
2024-04-23 09:00:00,0.0,EDC
2024-04-23 16:30:00,0.0,EDC
2024-04-24 00:30:00,0.0,EDC
2024-04-24 09:00:00,0.0,EDC
2024-04-24 16:30:00,0.0,EDC
2024-04-25 00:30:00,0.0,EDC
2024-04-25 09:00:00,0.0,EDC
2024-04-25 16:30:00,0.0,EDC
2024-04-26 00:30:00,0.0,EDC
2024-04-26 09:00:00,0.0,EDC
2024-04-26 16:30:00,0.0,EDC
2024-04-27 00:30:00,0.0,EDC
2024-04-27 09:00:00,0.0,EDC
2024-04-27 16:30:00,0.0,EDC
2024-04-28 00:30:00,0.0,EDC
2024-04-28 09:00:00,0.0,EDC
2024-04-28 16:30:00,0.0,EDC
2024-04-29 00:30:00,0.0,EDC
2024-04-29 09:00:00,0.0,EDC
2024-04-29 16:30:00,0.0,EDC
2024-04-30 00:30:00,0.0,EDC
2024-04-30 09:00:00,0.0,EDC
2024-04-30 16:30:00,0.0,EDC
2024-05-01 00:30:00,0.0,EDC
2024-05-01 09:00:00,0.0,EDC
2024-05-01 16:30:00,0.0,EDC
2024-05-02 00:30:00,0.0,EDC
2024-05-02 09:00:00,0.0,EDC
2024-05-02 16:30:00,0.0,EDC
2024-05-03 00:30:00,0.0,EDC
2024-05-03 09:00:00,0.0,EDC
2024-05-03 16:30:00,0.0,EDC
2024-05-04 00:30:00,0.0,EDC
2024-05-04 09:00:00,0.0,EDC
2024-05-04 16:30:00,0.0,EDC
2024-05-05 00:30:00,0.0,EDC
2024-05-05 09:00:00,0.0,EDC
2024-05-05 16:30:00,0.0,EDC
2024-05-06 00:30:00,0.0,EDC
2024-05-06 09:00:00,0.0,EDC
2024-05-06 16:30:00,0.0,EDC
2024-05-07 00:30:00,0.0,EDC
2024-05-07 09:00:00,0.0,EDC
2024-05-07 16:30:00,0.0,EDC
2024-05-08 00:30:00,0.0,EDC
2024-05-08 09:00:00,0.0,EDC
2024-05-08 16:30:00,0.0,EDC
2024-05-09 00:30:00,0.0,EDC
2024-05-09 09:00:00,0.0,EDC
2024-05-09 16:30:00,0.0,EDC
2024-05-10 00:30:00,0.0,EDC
2024-05-10 09:00:00,0.0,EDC
2024-05-10 16:30:00,0.0,EDC
2024-05-11 00:30:00,0.0,EDC
2024-05-11 08:30:00,0.0,EDC
2024-05-11 16:30:00,0.0,EDC
2024-05-12 00:30:00,0.0,EDC
2024-05-12 09:00:00,0.0,EDC
2024-05-12 16:30:00,0.0,EDC
2024-05-13 00:30:00,0.0,EDC
2024-05-13 09:00:00,0.0,EDC
2024-05-13 16:30:00,0.0,EDC
2024-05-14 00:30:00,0.0,EDC
2024-05-14 09:00:00,0.0,EDC
2024-05-14 16:30:00,0.0,EDC
2024-05-15 00:30:00,0.0,EDC
2024-05-15 09:00:00,0.0,EDC
2024-05-15 16:30:00,0.0,EDC
2024-05-16 00:30:00,0.0,EDC
2024-05-16 09:00:00,0.0,EDC
2024-05-16 16:30:00,0.0,EDC
2024-05-17 00:30:00,0.0,EDC
2024-05-17 09:00:00,0.0,EDC
2024-05-17 16:30:00,0.0,EDC
2024-05-18 00:30:00,0.0,EDC
2024-05-18 09:00:00,0.0,EDC
2024-05-18 16:30:00,0.0,EDC
2024-05-19 00:30:00,0.0,EDC
2024-05-19 09:00:00,0.0,EDC
2024-05-19 16:30:00,0.0,EDC
2024-05-20 09:00:00,0.0,EDC
2024-05-20 16:30:00,0.0,EDC
2024-05-21 09:00:00,0.0,EDC
2024-05-21 16:30:00,0.0,EDC
2024-05-22 09:00:00,0.0,EDC
2024-05-22 16:30:00,0.0,EDC
2024-05-23 00:30:00,0.0,EDC
2024-05-23 09:00:00,0.0,EDC
2024-05-23 16:30:00,0.0,EDC
2024-05-24 00:30:00,0.0,EDC
2024-05-24 09:00:00,0.0,EDC
2024-05-24 16:30:00,0.0,EDC
2024-05-25 00:30:00,0.0,EDC
2024-05-25 09:00:00,0.0,EDC
2024-05-25 16:30:00,0.0,EDC
2024-05-26 00:30:00,0.0,EDC
2024-05-26 09:00:00,0.0,EDC
2024-05-26 16:30:00,0.0,EDC
2024-05-27 00:30:00,0.0,EDC
2024-05-27 09:00:00,0.0,EDC
2024-05-27 16:30:00,0.2,EDC
2024-05-28 00:30:00,0.1,EDC
2024-05-28 09:00:00,0.1,EDC
2024-05-29 00:45:00,0.1,EDC
2024-05-29 05:25:00,0.0,EDC
2024-05-29 16:00:00,0.05,EDC
2024-05-30 00:05:00,0.05,EDC
2024-05-30 05:30:00,0.05,EDC
2024-05-30 16:10:00,0.0,EDC
2024-05-31 00:20:00,0.05,EDC
2024-05-31 05:30:00,0.07,EDC
2024-05-31 16:20:00,0.01,EDC
2024-06-01 00:15:00,0.0,EDC
2024-06-01 07:00:00,0.0,EDC
2024-06-01 16:38:00,0.01,EDC
2024-06-02 00:10:00,0.01,EDC
2024-06-02 05:40:00,0.01,EDC
2024-06-02 16:28:00,0.01,EDC
2024-06-03 00:10:00,0.0,EDC
2024-06-03 06:30:00,0.01,EDC
2024-06-03 16:45:00,0.9,EDC
2024-06-04 00:10:00,0.0,EDC
2024-06-04 06:50:00,0.9,EDC
2024-06-04 16:30:00,0.0,EDC
2024-06-05 00:10:00,0.2,EDC
2024-06-05 06:20:00,0.2,EDC
2024-06-05 16:10:00,0.0,EDC
2024-06-06 00:35:00,0.2,EDC
2024-06-06 06:20:00,0.2,EDC
2024-06-06 16:30:00,0.2,EDC
2024-06-07 00:39:00,0.2,EDC
2024-06-07 06:18:00,0.2,EDC
2024-06-07 16:15:00,0.2,EDC
2024-06-08 00:12:00,0.2,EDC
2024-06-08 05:58:00,0.3,EDC
2024-06-08 16:20:00,0.2,EDC
2024-06-09 00:15:00,0.1,EDC
2024-06-09 07:15:00,0.05,EDC
2024-06-09 16:10:00,0.05,EDC
2024-06-10 00:10:00,0.02,EDC
2024-06-10 06:30:00,0.01,EDC
2024-06-10 16:14:00,0.01,EDC
2024-06-11 00:10:00,0.01,EDC
2024-06-11 06:20:00,0.01,EDC
2024-06-11 16:25:00,0.01,EDC
2024-06-12 00:15:00,0.01,EDC
2024-06-12 05:30:00,0.01,EDC
2024-06-12 16:09:00,0.01,EDC
2024-06-13 00:10:00,0.01,EDC
2024-06-13 05:50:00,0.0,EDC
2024-06-13 16:30:00,0.0,EDC
2024-06-14 00:30:00,0.0,EDC
2024-06-14 05:40:00,0.0,EDC
2024-06-14 16:05:00,0.01,EDC
