"feed temperature (C)","feed flow (t/HR)","steam flow (kg/hr)",top pressure  (mm-water-G),bottom pressure (mm-water-G),top temperature (C),bottom temperature (C),"bottom EDC (ppm)",Status
50,10,2400,1200,1400,103.536478,103.620723,0.410549196,OK
50,10,2400,1200,1500,103.715707,103.864208,0.419078126,OK
50,10,2400,1200,1600,103.894174,104.105999,0.427828754,OK
50,10,2400,1200,1700,104.071893,104.346122,0.43680714,OK
50,10,2400,1200,1800,104.248875,104.584603,0.446019516,OK
50,10,2400,1300,1400,103.609874,103.620723,0.418302842,OK
50,10,2400,1300,1500,103.788901,103.864207,0.426994016,OK
50,10,2400,1300,1600,103.967169,104.105998,0.435910681,OK
50,10,2400,1300,1700,104.144689,104.346122,0.445059012,OK
50,10,2400,1300,1800,104.321474,104.584603,0.454445328,OK
50,10,2400,1300,1900,104.497536,104.821467,0.464076127,OK
50,10,2400,1400,1500,103.861712,103.864207,0.435005225,OK
50,10,2400,1400,1600,104.039782,104.105997,0.444089669,OK
50,10,2400,1400,1700,104.217107,104.346121,0.453409687,OK
50,10,2400,1400,1800,104.393697,104.584602,0.462971712,OK
50,10,2400,1400,1900,104.569564,104.821466,0.472782336,OK
50,10,2400,1400,2000,104.744722,105.056737,0.482848332,OK
50,10,2600,400,500,101.236191,101.348513,0.210900075,OK
50,10,2600,400,600,101.422472,101.608526,0.214502914,OK
50,10,2600,400,700,101.607818,101.866582,0.218192333,OK
50,10,2600,400,800,101.792243,102.122711,0.221967978,OK
50,10,2600,400,900,101.975762,102.376944,0.225832065,OK
50,10,2600,400,1000,102.158391,102.629313,0.22978687,OK
50,10,2600,500,600,101.501498,101.608527,0.218717292,OK
50,10,2600,500,700,101.686623,101.866582,0.222482738,OK
50,10,2600,500,800,101.870829,102.12271,0.226336184,OK
50,10,2600,500,900,102.054131,102.376944,0.230279921,OK
50,10,2600,500,1000,102.236543,102.629312,0.234316272,OK
50,10,2600,500,1100,102.418081,102.879847,0.238447622,OK
50,10,2600,600,700,101.764965,101.866583,0.226828079,OK
50,10,2600,600,800,101.948953,102.12271,0.230760471,OK
50,10,2600,600,900,102.13204,102.376943,0.234784994,OK
50,10,2600,600,1000,102.314238,102.629312,0.238904048,OK
50,10,2600,600,1100,102.495562,102.879846,0.243120062,OK
50,10,2600,600,1200,102.676028,103.128576,0.247435537,OK
50,10,2600,700,800,102.026624,102.122711,0.235241357,OK
50,10,2600,700,900,102.209496,102.376943,0.239347839,OK
50,10,2600,700,1000,102.391482,102.629312,0.243550757,OK
50,10,2600,700,1100,102.572595,102.879846,0.24785262,OK
50,10,2600,700,1200,102.752851,103.128576,0.252255974,OK
50,10,2600,700,1300,102.932262,103.375529,0.256763435,OK
