LVCM2-FC503F,LVCM-TI-C503A-I.PV,LVCM2-FC503AS.PV,LVCM2-TC503T,LVCM2-TC503B,LVCM-PI-C503A-T.PV,LVCM-PI-C503A-B.PV,LVCM2-LC503,time
12.8147554,138.7453461,1246.0527344,105.638298,109.1999969,3143.4101563,3137.2966309,51.0223694,2024-06-18 19:30:00
12.8853502,138.7179871,1238.4116211,105.8019104,109.2109299,3179.494873,3179.0358887,48.4794159,2024-06-18 19:40:00
13.2359447,138.6906281,1245.0092773,105.8783722,109.2309265,3035.854248,3036.1994629,51.4979897,2024-06-18 19:50:00
13.0969515,138.663269,1230.1052246,105.8442078,109.2509308,3109.4572754,3110.4311523,50.2863121,2024-06-18 20:00:00
12.9413157,138.63591,1234.0,105.827301,109.2709274,3113.267334,3109.4780273,48.6068573,2024-06-18 20:10:00
12.9919815,138.608551,1238.7536621,105.8000031,109.2909317,3116.2990723,3111.4787598,51.1449699,2024-06-18 20:20:00
12.9606714,138.581192,1219.4450684,106.0510635,109.310936,3126.390625,3079.9707031,50.0971375,2024-06-18 20:30:00
13.1021042,138.553833,1239.8198242,105.764946,109.3309326,3158.2631836,3177.0559082,48.3510361,2024-06-18 20:40:00
12.9779882,138.526474,1225.2011719,105.6339798,109.3509369,3061.8530273,3078.9377441,51.6724739,2024-06-18 20:50:00
13.0338297,138.499115,1216.8664551,106.0047379,109.3709335,3105.9030762,3108.9030762,50.2646217,2024-06-18 21:00:00
12.9476824,138.471756,1243.5379639,105.6559677,109.3909378,3208.6965332,3209.2956543,48.110733,2024-06-18 21:10:00
12.9305182,138.444397,1228.4504395,105.8624115,109.3755264,3098.0415039,3093.861084,51.4533272,2024-06-18 21:20:00
12.9992399,138.417038,1222.5952148,106.0931549,109.3307495,3144.434082,3130.0,50.4276695,2024-06-18 21:30:00
13.0538855,138.389679,1227.4775391,105.9615173,109.3000031,3215.3740234,3208.1196289,48.5473785,2024-06-18 21:40:00
13.0457497,138.3623199,1237.5981445,105.9033585,109.3000031,3115.107666,3100.5634766,50.7867928,2024-06-18 21:50:00
13.0511332,138.3349609,1236.770874,105.9000015,109.362854,3119.5371094,3122.5371094,51.2000008,2024-06-18 22:00:00
12.8999996,138.3076019,1235.026123,105.8878403,109.3749619,3244.0483398,3251.8278809,47.4104462,2024-06-18 22:10:00
12.9221382,138.2802429,1225.0518799,105.5769653,109.3227921,3032.6982422,3042.5681152,52.6300468,2024-06-18 22:20:00
13.054678,138.2528839,1231.5725098,105.9068069,109.3000031,3224.9846191,3235.2126465,49.555336,2024-06-18 22:30:00
12.9888487,138.2255249,1237.2384033,106.0,109.3000031,3114.4924316,3136.1491699,48.6632843,2024-06-18 22:40:00
12.9555426,138.1981659,1230.7347412,105.8803024,109.0332336,3051.9443359,3058.9443359,52.2020454,2024-06-18 22:50:00
12.9820318,138.1708069,1235.1986084,105.9235764,109.2022476,3144.0500488,3154.3225098,48.3792267,2024-06-18 23:00:00
12.9317245,138.1434479,1238.8085938,105.7284241,109.3712692,3138.4387207,3153.1152344,50.5633011,2024-06-18 23:10:00
12.9350948,138.1160889,1232.1035156,105.9000015,109.322197,3112.3520508,3116.581543,51.7000008,2024-06-18 23:20:00
13.0493498,138.0887299,1239.3302002,105.8647614,109.3000031,3204.2509766,3230.8864746,47.6853485,2024-06-18 23:30:00
12.9200001,138.0613708,1244.1567383,105.7279129,109.3000031,3086.0009766,3139.3054199,51.9902954,2024-06-18 23:40:00
13.1321392,138.0340118,1231.7593994,106.2434082,109.3000031,3144.395752,3177.8068848,49.1517372,2024-06-18 23:50:00
12.9223309,138.0066528,1240.5993652,105.9429398,109.3000031,3106.7922363,3120.4257813,49.9860115,2024-06-19 00:00:00
12.9259806,137.9792938,1239.1092529,105.8198471,109.2638245,3140.2817383,3148.3266602,50.9109116,2024-06-19 00:10:00
13.0007658,137.9519348,1239.3963623,106.0825195,109.2256012,3210.8249512,3222.9416504,48.0299797,2024-06-19 00:20:00
12.99788,137.9245758,1240.9017334,105.7329788,109.1999969,3080.4655762,3054.0246582,52.0313797,2024-06-19 00:30:00
12.9684677,137.8972168,1236.5535889,106.1824112,109.189209,3102.3894043,3120.4765625,47.9079514,2024-06-19 00:40:00
12.954236,137.8698578,1236.0,105.6576538,109.1733322,3046.2563477,3062.6040039,51.7000008,2024-06-19 00:50:00
12.9170151,137.8424988,1239.5084229,106.0785065,109.1574631,3183.0480957,3199.0334473,49.014782,2024-06-19 01:00:00
12.9507904,137.8151398,1234.362915,105.6838455,109.1415863,3105.4453125,3121.4453125,50.6067162,2024-06-19 01:10:00
12.960001,137.8009491,1236.1052246,105.867363,109.1257172,3163.2993164,3181.6350098,49.8776627,2024-06-19 01:20:00
12.9122028,137.8030396,1237.4987793,105.6940079,109.1098404,3184.7573242,3203.9455566,49.7632599,2024-06-19 01:30:00
